Name,Country1,Country2,Country3,Country4,Country5,Country6,Language1,Language2,Language3,Language4,Language5,Language6,Gross_revenue,Production1,Production2,Production3,Runtime,Rating,Genre1,Genre2,Genre3,Nums_score,Nums_review,Nums_critic,Story,Director1,Director2,Writer1,Writer2,Star1,Star2,Star3
Klaus,Spain,,,,,,English, Saami,,,,,0,The SPA Studios, Atresmedia Cine,,96,PG,Animation, Adventure, Comedy,68012,563,98,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos, Carlos Martínez López,Sergio Pablos, Sergio Pablos,Jason Schwartzman, J.K. Simmons, Rashida Jones
The Bandit,Turkey, France, Bulgaria,,,,Turkish,,,,,,0,Artcam International, Filma-Cass, Geopoly,128,TV-MA,Crime, Drama, Thriller,60353,53,5,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,,Yavuz Turgul,,Sener Sen, Ugur Yücel, Sermin Hürmeriç
Andhadhun,India,,,,,,Hindi, English,,,,,49391206,Matchbox Pictures, Viacom18 Motion Pictures,,139,Not Rated,Crime, Thriller,,60510,824,31,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,,Arijit Biswas, Yogesh Chandekar,Ayushmann Khurrana, Tabu, Radhika Apte
Mary and Max,Australia,,,,,,English, Yiddish,,,,,1739445,Melodrama Pictures,,,92,Not Rated,Animation, Comedy, Drama,158599,222,181,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,,Adam Elliot,,Toni Collette, Philip Seymour Hoffman, Eric Bana
The Big Lebowski,USA, UK,,,,,English, German, Hebrew, Spanish,,,46735469,Polygram Filmed Entertainment, Working Title Films,,117,R,Comedy, Crime, Sport,699903,1205,189,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen, Ethan Coen,Ethan Coen, Joel Coen,Jeff Bridges, John Goodman, Julianne Moore
In the Name of the Father,Ireland, UK,,,,,English,,,,,,65796862,Hell's Kitchen Films, Universal Pictures,,133,R,Biography, Drama,,149652,178,59,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,,Gerry Conlon, Terry George,Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie
Gone Girl,USA,,,,,,English,,,,,,369330363,Twentieth Century Fox, Regency Enterprises, TSG Entertainment,149,R,Drama, Mystery, Thriller,816559,1421,618,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,,Gillian Flynn, Gillian Flynn,Ben Affleck, Rosamund Pike, Neil Patrick Harris
Hacksaw Ridge,Australia, USA,,,,,English, Japanese,,,,,180450918,Summit Entertainment, Cross Creek Pictures, Demarest Films,139,R,Biography, Drama, History,406764,869,468,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,,Robert Schenkkan, Andrew Knight,Andrew Garfield, Sam Worthington, Luke Bracey
The Grand Budapest Hotel,Germany, USA,,,,,English, French, German,,,,172936941,Fox Searchlight Pictures, Indian Paintbrush, Studio Babelsberg,99,R,Adventure, Comedy, Crime,675046,845,569,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,,Stefan Zweig, Wes Anderson,Ralph Fiennes, F. Murray Abraham, Mathieu Amalric
To Be or Not to Be,USA,,,,,,English, German,,,,,4578000,Romaine Film Corporation,,,99,Passed,Comedy, War,,25259,130,75,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,,Melchior Lengyel, Edwin Justus Mayer,Carole Lombard, Jack Benny, Robert Stack
Ford v Ferrari,USA, France,,,,,English, Italian, French, Japanese,,,225508210,Chernin Entertainment, Turnpike Films, Twentieth Century Fox,152,PG-13,Action, Biography, Drama,212293,1199,330,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,,Jez Butterworth, John-Henry Butterworth,Matt Damon, Christian Bale, Jon Bernthal
Persona,Sweden,,,,,,Swedish, English,,,,,12142,American International Pictures (AIP), Aurora, Svensk Filmindustri (SF),85,Not Rated,Drama, Thriller,,95593,218,137,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Ingmar Bergman,,Ingmar Bergman,,Bibi Andersson, Liv Ullmann, Margaretha Krook
Before Sunrise,USA, Austria, Switzerland,,,,English, German, French,,,,5986708,Castle Rock Entertainment, Detour Filmproduction, Filmhaus Wien Universa Filmproduktions,101,R,Drama, Romance,,255765,472,153,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,,Richard Linklater, Kim Krizan,Ethan Hawke, Julie Delpy, Andrea Eckert
Catch Me If You Can,USA, Canada,,,,,English, French,,,,,352114312,DreamWorks, Kemp Company, Splendid Pictures,141,PG-13,Biography, Crime, Drama,781481,802,200,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",Steven Spielberg,,Jeff Nathanson, Frank Abagnale Jr.,Leonardo DiCaprio, Tom Hanks, Christopher Walken
How to Train Your Dragon,USA,,,,,,English,,,,,,494878759,DreamWorks Animation, Mad Hatter Entertainment, Vertigo Entertainment,98,PG,Animation, Action, Adventure,642569,614,310,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois, Chris Sanders,William Davies, Dean DeBlois,Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse
The General,USA,,,,,,English,,,,,,750000,Buster Keaton Productions, Joseph M. Schenck Productions,,67,Passed,Action, Adventure, Comedy,76866,276,113,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Clyde Bruckman, Buster Keaton,Buster Keaton, Clyde Bruckman,Buster Keaton, Marion Mack, Glen Cavender
Mr. Smith Goes to Washington,USA,,,,,,English,,,,,,144738,Columbia Pictures,,,129,Not Rated,Comedy, Drama,,102810,282,84,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Frank Capra,,Sidney Buchman, Lewis R. Foster,James Stewart, Jean Arthur, Claude Rains
Sherlock Jr.,USA,,,,,,English,,,,,,977375,Buster Keaton Productions,,,45,Not Rated,Action, Comedy, Romance,37956,311,66,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,,Jean C. Havez, Joseph A. Mitchell,Buster Keaton, Kathryn McGuire, Joe Keaton
Prisoners,USA,,,,,,English,,,,,,122126687,Alcon Entertainment, 8:38 Productions, Madhouse Entertainment,153,R,Crime, Drama, Mystery,568105,878,491,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,,Aaron Guzikowski,,Hugh Jackman, Jake Gyllenhaal, Viola Davis
12 Years a Slave,UK, USA,,,,,English,,,,,,187733202,Regency Enterprises, River Road Entertainment, Plan B Entertainment,134,R,Biography, Drama, History,613655,849,613,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,,John Ridley, Solomon Northup,Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender
Cool Hand Luke,USA,,,,,,English,,,,,,0,Jalem Productions,,,127,GP,Crime, Drama,,155929,323,126,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Stuart Rosenberg,,Donn Pearce, Frank Pierson,Paul Newman, George Kennedy, Strother Martin
Mad Max: Fury Road,Australia, USA, South Africa,,,,English, Russian,,,,,375209362,Warner Bros., Village Roadshow Pictures, Kennedy Miller Productions,120,R,Action, Adventure, Sci-Fi,837603,1959,822,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",George Miller,,George Miller, Brendan McCarthy,Tom Hardy, Charlize Theron, Nicholas Hoult
Barry Lyndon,UK, USA,,,,,English, German, French,,,,198992,Peregrine, Hawk Films, Warner Bros.,185,PG,Adventure, Drama, History,141959,446,106,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,,Stanley Kubrick, William Makepeace Thackeray,Ryan O'Neal, Marisa Berenson, Patrick Magee
The Wages of Fear,France, Italy,,,,,French, English, Spanish, German, Italian, Russian,1098,Compagnie Industrielle et Commerciale Cinématographique (CICC), Filmsonor, Vera Films,131,Not Rated,Adventure, Drama, Thriller,51660,158,136,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,,Georges Arnaud, Henri-Georges Clouzot,Yves Montand, Charles Vanel, Peter van Eyck
Network,USA,,,,,,English,,,,,,23690757,Metro-Goldwyn-Mayer (MGM),,,121,R,Drama,,,139230,387,172,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Sidney Lumet,,Paddy Chayefsky,,Faye Dunaway, William Holden, Peter Finch
Stand by Me,USA,,,,,,English,,,,,,52287414,Columbia Pictures, Act III, Act III Communications,89,R,Adventure, Drama,,349764,680,130,"After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.",Rob Reiner,,Stephen King, Raynold Gideon,Wil Wheaton, River Phoenix, Corey Feldman
Into the Wild,USA,,,,,,English, Danish,,,,,56674477,Paramount Vantage, Art Linson Productions, Into the Wild,148,R,Adventure, Biography, Drama,550677,924,241,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,,Sean Penn, Jon Krakauer,Emile Hirsch, Vince Vaughn, Catherine Keener
Million Dollar Baby,USA,,,,,,English, Irish,,,,,216763646,Warner Bros., Lakeshore Entertainment, Malpaso Productions,132,PG-13,Drama, Sport,,614139,1208,285,A determined woman works with a hardened boxing trainer to become a professional.,Clint Eastwood,,Paul Haggis, F.X. Toole,Hilary Swank, Clint Eastwood, Morgan Freeman
Monty Python's Life of Brian,UK,,,,,,English, Latin,,,,,20738621,HandMade Films, Python (Monty) Pictures,,94,R,Comedy,,,353751,384,149,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth (Graham Chapman) spends his life being mistaken for a messiah.",Terry Jones,,Graham Chapman, John Cleese,Graham Chapman, John Cleese, Michael Palin
Hachi: A Dog's Tale,UK, USA,,,,,English, Japanese,,,,,46749646,Stage 6 Films, Inferno Distribution, Hachiko,93,G,Drama, Family,,240649,448,92,A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,,Stephen P. Lindsey, Kaneto Shindô,Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa
Ben-Hur,USA,,,,,,English,,,,,,74427638,Metro-Goldwyn-Mayer (MGM),,,212,G,Adventure, Drama, History,211769,436,127,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler,,Lew Wallace, Karl Tunberg,Charlton Heston, Jack Hawkins, Stephen Boyd
Platoon,USA, UK,,,,,English, Vietnamese,,,,,138545632,Hemdale, Cinema '84, Cinema 86,120,R,Drama, War,,368449,592,137,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,Oliver Stone,,Oliver Stone,,Charlie Sheen, Tom Berenger, Willem Dafoe
Rush,UK, Germany, USA,,,,English, German, Italian, French, Spanish,,96983009,Exclusive Media Group, Cross Creek Pictures, Imagine Entertainment,123,R,Biography, Drama, Sport,415749,554,423,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,,Peter Morgan,,Daniel Brühl, Chris Hemsworth, Olivia Wilde
The Passion of Joan of Arc,France,,,,,,French,,,,,,21877,Société générale des films,,,110,Not Rated,Biography, Drama, History,44430,186,130,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,,Joseph Delteil, Carl Theodor Dreyer,Maria Falconetti, Eugene Silvain, André Berley
Logan,USA,,,,,,English, Spanish,,,,,619021436,Twentieth Century Fox, Marvel Entertainment, TSG Entertainment,137,R,Action, Drama, Sci-Fi,614106,1533,634,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,,James Mangold, Scott Frank,Hugh Jackman, Patrick Stewart, Dafne Keen
Dead Poets Society,USA,,,,,,English, Latin,,,,,235860116,Touchstone Pictures, Silver Screen Partners IV, A Steven Haft Production,128,PG,Comedy, Drama,,401857,610,105,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings. -Camilo Alarcón,Peter Weir,,Tom Schulman,,Robin Williams, Robert Sean Leonard, Ethan Hawke
